Drug,Reac,a,drug_num,reac_num,n
17-ALPHA-HYDROXYPROGESTERONE,ABDOMINAL PAIN,2,73,2381,95942
ABATACEPT,ABDOMINAL PAIN,5,299,2381,95942
ABIRATERONE,ABDOMINAL PAIN,2,82,2381,95942
ACETAMINOPHEN,ABDOMINAL PAIN,20,173,2381,95942
ACYCLOVIR,ABDOMINAL PAIN,1,54,2381,95942
ADALIMUMAB,ABDOMINAL PAIN,204,3991,2381,95942
AFATINIB,ABDOMINAL PAIN,4,249,2381,95942
AFLIBERCEPT,ABDOMINAL PAIN,1,93,2381,95942
ALEMTUZUMAB,ABDOMINAL PAIN,2,135,2381,95942
ALENDRONATE,ABDOMINAL PAIN,1,48,2381,95942
ALISKIREN,ABDOMINAL PAIN,1,7,2381,95942
ALPRAZOLAM,ABDOMINAL PAIN,1,187,2381,95942
AMBRISENTAN,ABDOMINAL PAIN,8,339,2381,95942
AMIODARONE,ABDOMINAL PAIN,1,57,2381,95942
AMLODIPINE,ABDOMINAL PAIN,4,160,2381,95942
AMOXICILLIN,ABDOMINAL PAIN,5,251,2381,95942
ANASTROZOLE,ABDOMINAL PAIN,1,39,2381,95942
APOMORPHINE,ABDOMINAL PAIN,1,11,2381,95942
APREMILAST,ABDOMINAL PAIN,29,1141,2381,95942
APREPITANT,ABDOMINAL PAIN,1,66,2381,95942
ARIPIPRAZOLE,ABDOMINAL PAIN,6,375,2381,95942
ASENAPINE,ABDOMINAL PAIN,1,37,2381,95942
ASPIRIN,ABDOMINAL PAIN,1,294,2381,95942
ATAZANAVIR,ABDOMINAL PAIN,1,48,2381,95942
ATORVASTATIN,ABDOMINAL PAIN,2,239,2381,95942
ATOVAQUONE,ABDOMINAL PAIN,1,11,2381,95942
AXITINIB,ABDOMINAL PAIN,5,132,2381,95942
AZACITIDINE,ABDOMINAL PAIN,1,108,2381,95942
AZATHIOPRINE,ABDOMINAL PAIN,1,28,2381,95942
AZITHROMYCIN,ABDOMINAL PAIN,1,86,2381,95942
BACLOFEN,ABDOMINAL PAIN,2,309,2381,95942
BELIMUMAB,ABDOMINAL PAIN,3,219,2381,95942
BENDAMUSTINE,ABDOMINAL PAIN,3,112,2381,95942
BEVACIZUMAB,ABDOMINAL PAIN,39,700,2381,95942
BISACODYL,ABDOMINAL PAIN,1,3,2381,95942
BOCEPREVIR,ABDOMINAL PAIN,2,69,2381,95942
BORTEZOMIB,ABDOMINAL PAIN,3,109,2381,95942
BOSENTAN,ABDOMINAL PAIN,35,753,2381,95942
