Drug,Reac,a,drug_num,reac_num,n
3-IODOBENZYLGUANIDINE,FLUID RETENTION,1,1,340,63653
ABIRATERONE,FLUID RETENTION,5,456,340,63653
ADALIMUMAB,FLUID RETENTION,3,1028,340,63653
AMBRISENTAN,FLUID RETENTION,19,268,340,63653
APIXABAN,FLUID RETENTION,1,436,340,63653
BEVACIZUMAB,FLUID RETENTION,1,666,340,63653
BORTEZOMIB,FLUID RETENTION,1,132,340,63653
BOSENTAN,FLUID RETENTION,57,824,340,63653
BOSUTINIB,FLUID RETENTION,1,65,340,63653
CAPECITABINE,FLUID RETENTION,1,209,340,63653
CARFILZOMIB,FLUID RETENTION,3,356,340,63653
CEFDINIR,FLUID RETENTION,1,1,340,63653
CORTICOTROPIN,FLUID RETENTION,2,25,340,63653
CRIZOTINIB,FLUID RETENTION,1,164,340,63653
CYCLOSPORINE,FLUID RETENTION,1,106,340,63653
DABIGATRAN ETEXILATE,FLUID RETENTION,2,1487,340,63653
DASATINIB,FLUID RETENTION,3,113,340,63653
DEFERASIROX,FLUID RETENTION,3,159,340,63653
DENOSUMAB,FLUID RETENTION,1,1916,340,63653
DEXAMETHASONE,FLUID RETENTION,1,153,340,63653
DIMETHYL FUMARATE,FLUID RETENTION,1,203,340,63653
DROXIDOPA,FLUID RETENTION,1,49,340,63653
ECULIZUMAB,FLUID RETENTION,2,58,340,63653
ENOXAPARIN,FLUID RETENTION,1,178,340,63653
ENZALUTAMIDE,FLUID RETENTION,4,736,340,63653
EPOETIN ALFA,FLUID RETENTION,1,63,340,63653
EPOPROSTENOL,FLUID RETENTION,11,139,340,63653
ETANERCEPT,FLUID RETENTION,4,4166,340,63653
EVEROLIMUS,FLUID RETENTION,2,317,340,63653
EXENATIDE,FLUID RETENTION,1,75,340,63653
FESOTERODINE,FLUID RETENTION,1,44,340,63653
FUROSEMIDE,FLUID RETENTION,2,287,340,63653
IBRUTINIB,FLUID RETENTION,6,670,340,63653
ILOPROST,FLUID RETENTION,20,172,340,63653
IMATINIB,FLUID RETENTION,7,150,340,63653
IMMUNOGLOBULIN G,FLUID RETENTION,1,73,340,63653
INFLIXIMAB,FLUID RETENTION,1,343,340,63653
KETOPROFEN,FLUID RETENTION,1,7,340,63653
LENALIDOMIDE,FLUID RETENTION,20,4935,340,63653
LETROZOLE,FLUID RETENTION,2,82,340,63653
LEUPROLIDE,FLUID RETENTION,2,223,340,63653
LISINOPRIL,FLUID RETENTION,1,219,340,63653
MACITENTAN,FLUID RETENTION,53,579,340,63653
METHYLPREDNISOLONE,FLUID RETENTION,1,93,340,63653
OCTREOTIDE,FLUID RETENTION,6,480,340,63653
OMALIZUMAB,FLUID RETENTION,8,306,340,63653
OXYBATE,FLUID RETENTION,1,124,340,63653
PEGFILGRASTIM,FLUID RETENTION,1,111,340,63653
PIRFENIDONE,FLUID RETENTION,1,136,340,63653
POMALIDOMIDE,FLUID RETENTION,1,1075,340,63653
PREGABALIN,FLUID RETENTION,3,535,340,63653
