Drug,Reac,a,drug_num,reac_num,n
17-ALPHA-HYDROXYPROGESTERONE,ABDOMINAL PAIN,2,73,2253,94932
ABATACEPT,ABDOMINAL PAIN,8,447,2253,94932
ACARBOSE,ABDOMINAL PAIN,1,8,2253,94932
ACETAMINOPHEN,ABDOMINAL PAIN,13,130,2253,94932
ADALIMUMAB,ABDOMINAL PAIN,182,3183,2253,94932
AFATINIB,ABDOMINAL PAIN,12,377,2253,94932
AFLIBERCEPT,ABDOMINAL PAIN,6,160,2253,94932
ALEMTUZUMAB,ABDOMINAL PAIN,2,83,2253,94932
ALENDRONATE,ABDOMINAL PAIN,1,142,2253,94932
ALPRAZOLAM,ABDOMINAL PAIN,1,168,2253,94932
AMBRISENTAN,ABDOMINAL PAIN,5,453,2253,94932
AMIODARONE,ABDOMINAL PAIN,1,145,2253,94932
AMLODIPINE,ABDOMINAL PAIN,4,157,2253,94932
AMOXICILLIN,ABDOMINAL PAIN,5,224,2253,94932
ANASTROZOLE,ABDOMINAL PAIN,3,100,2253,94932
APIXABAN,ABDOMINAL PAIN,1,216,2253,94932
APOMORPHINE,ABDOMINAL PAIN,1,11,2253,94932
APREMILAST,ABDOMINAL PAIN,22,996,2253,94932
ARIPIPRAZOLE,ABDOMINAL PAIN,2,243,2253,94932
ASPIRIN,ABDOMINAL PAIN,1,449,2253,94932
ATORVASTATIN,ABDOMINAL PAIN,2,262,2253,94932
AXITINIB,ABDOMINAL PAIN,6,88,2253,94932
AZACITIDINE,ABDOMINAL PAIN,9,146,2253,94932
AZITHROMYCIN,ABDOMINAL PAIN,5,80,2253,94932
BACLOFEN,ABDOMINAL PAIN,1,147,2253,94932
BELIMUMAB,ABDOMINAL PAIN,3,214,2253,94932
BENDAMUSTINE,ABDOMINAL PAIN,1,155,2253,94932
BETAMETHASONE,ABDOMINAL PAIN,1,13,2253,94932
BEVACIZUMAB,ABDOMINAL PAIN,42,824,2253,94932
BISOPROLOL,ABDOMINAL PAIN,1,53,2253,94932
BOCEPREVIR,ABDOMINAL PAIN,2,38,2253,94932
BOSENTAN,ABDOMINAL PAIN,35,1208,2253,94932
BOSUTINIB,ABDOMINAL PAIN,3,74,2253,94932
BOTULINUM TOXIN TYPE A,ABDOMINAL PAIN,3,340,2253,94932
BRENTUXIMAB VEDOTIN,ABDOMINAL PAIN,6,89,2253,94932
BUDESONIDE,ABDOMINAL PAIN,2,28,2253,94932
BUPRENORPHINE,ABDOMINAL PAIN,2,177,2253,94932
CABAZITAXEL,ABDOMINAL PAIN,1,6,2253,94932
CABOZANTINIB,ABDOMINAL PAIN,5,42,2253,94932
CANAGLIFLOZIN,ABDOMINAL PAIN,2,165,2253,94932
CAPECITABINE,ABDOMINAL PAIN,2,242,2253,94932
CARBOPLATIN,ABDOMINAL PAIN,8,221,2253,94932
CARFILZOMIB,ABDOMINAL PAIN,2,268,2253,94932
