Drug,Reac,a,drug_num,reac_num,n
6-AMINOCAPROIC ACID,ANXIETY,1,1,722,64663
ABIRATERONE,ANXIETY,1,531,722,64663
ACETAMINOPHEN,ANXIETY,1,94,722,64663
ADALIMUMAB,ANXIETY,18,1836,722,64663
AFATINIB,ANXIETY,1,256,722,64663
AFLIBERCEPT,ANXIETY,2,155,722,64663
ALBUTEROL,ANXIETY,1,60,722,64663
ALPRAZOLAM,ANXIETY,3,80,722,64663
ALPROSTADIL,ANXIETY,1,10,722,64663
AMBRISENTAN,ANXIETY,1,154,722,64663
AMIODARONE,ANXIETY,1,182,722,64663
AMLODIPINE,ANXIETY,4,213,722,64663
AMPHETAMINE,ANXIETY,1,4,722,64663
APOMORPHINE,ANXIETY,2,16,722,64663
APREMILAST,ANXIETY,8,502,722,64663
ARIPIPRAZOLE,ANXIETY,15,189,722,64663
ATORVASTATIN,ANXIETY,2,289,722,64663
AXITINIB,ANXIETY,2,221,722,64663
AZACITIDINE,ANXIETY,1,227,722,64663
BACLOFEN,ANXIETY,5,233,722,64663
BEVACIZUMAB,ANXIETY,4,542,722,64663
BEXAROTENE,ANXIETY,2,5,722,64663
BICALUTAMIDE,ANXIETY,1,44,722,64663
BOCEPREVIR,ANXIETY,1,41,722,64663
BOSENTAN,ANXIETY,1,369,722,64663
BOSUTINIB,ANXIETY,1,85,722,64663
BOTULINUM TOXIN TYPE A,ANXIETY,2,53,722,64663
BRINZOLAMIDE,ANXIETY,1,2,722,64663
BUPROPION,ANXIETY,1,41,722,64663
CABOZANTINIB,ANXIETY,1,149,722,64663
CANDESARTAN,ANXIETY,1,34,722,64663
CARBAMAZEPINE,ANXIETY,1,115,722,64663
CARBOPLATIN,ANXIETY,1,123,722,64663
CARFILZOMIB,ANXIETY,4,336,722,64663
CELECOXIB,ANXIETY,1,93,722,64663
CERTOLIZUMAB PEGOL,ANXIETY,2,493,722,64663
CETUXIMAB,ANXIETY,1,103,722,64663
CILOSTAZOL,ANXIETY,1,37,722,64663
CINACALCET,ANXIETY,1,74,722,64663
CIPROFLOXACIN,ANXIETY,9,134,722,64663
CISPLATIN,ANXIETY,1,105,722,64663
CITALOPRAM,ANXIETY,3,93,722,64663
CLARITHROMYCIN,ANXIETY,4,139,722,64663
CLONAZEPAM,ANXIETY,4,72,722,64663
CLOPIDOGREL,ANXIETY,1,311,722,64663
CLOZAPINE,ANXIETY,4,655,722,64663
COSYNTROPIN,ANXIETY,1,1,722,64663
CYTARABINE,ANXIETY,2,110,722,64663
DASATINIB,ANXIETY,1,149,722,64663
DENOSUMAB,ANXIETY,3,578,722,64663
DESVENLAFAXINE,ANXIETY,2,20,722,64663
DIAZEPAM,ANXIETY,1,92,722,64663
DIMETHYL FUMARATE,ANXIETY,6,415,722,64663
DIPHENHYDRAMINE,ANXIETY,1,10,722,64663
DOLUTEGRAVIR,ANXIETY,1,84,722,64663
DONEPEZIL,ANXIETY,1,83,722,64663
DOXAZOSIN,ANXIETY,1,33,722,64663
DOXEPIN,ANXIETY,1,6,722,64663
DOXORUBICIN,ANXIETY,1,116,722,64663
DULOXETINE,ANXIETY,17,53,722,64663
ENOXAPARIN,ANXIETY,1,154,722,64663
ENTACAPONE,ANXIETY,1,24,722,64663
ENZALUTAMIDE,ANXIETY,12,847,722,64663
EPOETIN ALFA,ANXIETY,1,61,722,64663
EPOPROSTENOL,ANXIETY,8,156,722,64663
ESCITALOPRAM,ANXIETY,5,91,722,64663
ESOMEPRAZOLE,ANXIETY,1,141,722,64663
ETANERCEPT,ANXIETY,29,4823,722,64663
EZETIMIBE,ANXIETY,1,25,722,64663
FEBUXOSTAT,ANXIETY,1,94,722,64663
FENTANYL,ANXIETY,2,227,722,64663
FERUMOXYTOL,ANXIETY,2,22,722,64663
FINASTERIDE,ANXIETY,4,57,722,64663
FINGOLIMOD,ANXIETY,26,631,722,64663
FLUOCINONIDE,ANXIETY,1,1,722,64663
FLUOXETINE,ANXIETY,3,44,722,64663
FONDAPARINUX,ANXIETY,2,25,722,64663
GABAPENTIN,ANXIETY,2,173,722,64663
GLATIRAMER,ANXIETY,4,104,722,64663
GUAIFENESIN,ANXIETY,1,4,722,64663
IBRUTINIB,ANXIETY,1,600,722,64663
IBUPROFEN,ANXIETY,1,226,722,64663
INDACATEROL,ANXIETY,1,49,722,64663
INFLIXIMAB,ANXIETY,6,838,722,64663
INSULIN GLARGINE,ANXIETY,1,111,722,64663
INSULIN LISPRO,ANXIETY,1,38,722,64663
INTERFERON BETA-1A,ANXIETY,8,276,722,64663
INTERFERON BETA-1B,ANXIETY,5,112,722,64663
IOHEXOL,ANXIETY,1,199,722,64663
IOPAMIDOL,ANXIETY,1,42,722,64663
IRBESARTAN,ANXIETY,1,23,722,64663
ISOTRETINOIN,ANXIETY,4,77,722,64663
