Drug,Reac,a,drug_num,reac_num,n
17-ALPHA-HYDROXYPROGESTERONE,ANXIETY,1,2,1093,71094
ABIRATERONE,ANXIETY,1,83,1093,71094
ACETAMINOPHEN,ANXIETY,1,55,1093,71094
ADALIMUMAB,ANXIETY,33,2347,1093,71094
AFATINIB,ANXIETY,2,115,1093,71094
AFLIBERCEPT,ANXIETY,2,35,1093,71094
ALBUTEROL,ANXIETY,1,101,1093,71094
ALPRAZOLAM,ANXIETY,2,88,1093,71094
AMBRISENTAN,ANXIETY,3,538,1093,71094
ANASTROZOLE,ANXIETY,1,15,1093,71094
APOMORPHINE,ANXIETY,1,2,1093,71094
APREMILAST,ANXIETY,29,1067,1093,71094
APREPITANT,ANXIETY,1,24,1093,71094
ARIPIPRAZOLE,ANXIETY,12,167,1093,71094
ARMODAFINIL,ANXIETY,1,17,1093,71094
ASENAPINE,ANXIETY,2,5,1093,71094
ASPIRIN,ANXIETY,2,842,1093,71094
AXITINIB,ANXIETY,3,143,1093,71094
BACLOFEN,ANXIETY,1,89,1093,71094
BELIMUMAB,ANXIETY,1,64,1093,71094
BEVACIZUMAB,ANXIETY,1,176,1093,71094
BICALUTAMIDE,ANXIETY,1,7,1093,71094
BOSENTAN,ANXIETY,16,1394,1093,71094
BOSUTINIB,ANXIETY,1,116,1093,71094
BOTULINUM TOXIN TYPE A,ANXIETY,6,289,1093,71094
BRINZOLAMIDE,ANXIETY,1,2,1093,71094
BUPROPION,ANXIETY,6,39,1093,71094
CABOZANTINIB,ANXIETY,1,113,1093,71094
CALCIUM CARBONATE,ANXIETY,1,1,1093,71094
CANAGLIFLOZIN,ANXIETY,1,241,1093,71094
CARFILZOMIB,ANXIETY,5,349,1093,71094
CELECOXIB,ANXIETY,5,144,1093,71094
CERITINIB,ANXIETY,1,38,1093,71094
CERTOLIZUMAB PEGOL,ANXIETY,5,757,1093,71094
CINACALCET,ANXIETY,2,72,1093,71094
CIPROFLOXACIN,ANXIETY,2,26,1093,71094
CLARITHROMYCIN,ANXIETY,1,2,1093,71094
CLOBAZAM,ANXIETY,1,13,1093,71094
CLOMIPRAMINE,ANXIETY,1,1,1093,71094
CLONAZEPAM,ANXIETY,3,36,1093,71094
CLOZAPINE,ANXIETY,1,187,1093,71094
COPPER,ANXIETY,1,329,1093,71094
COSYNTROPIN,ANXIETY,1,2,1093,71094
CRIZOTINIB,ANXIETY,1,171,1093,71094
CYCLOSPORINE,ANXIETY,1,91,1093,71094
CYTARABINE,ANXIETY,2,83,1093,71094
DASATINIB,ANXIETY,1,149,1093,71094
DENOSUMAB,ANXIETY,26,955,1093,71094
DESVENLAFAXINE,ANXIETY,5,52,1093,71094
DIMETHYL FUMARATE,ANXIETY,21,1306,1093,71094
DOCETAXEL,ANXIETY,1,51,1093,71094
DOXEPIN,ANXIETY,1,5,1093,71094
DULOXETINE,ANXIETY,66,124,1093,71094
ECULIZUMAB,ANXIETY,1,65,1093,71094
ENOXAPARIN,ANXIETY,1,40,1093,71094
ENZALUTAMIDE,ANXIETY,12,511,1093,71094
EPOETIN ALFA,ANXIETY,3,105,1093,71094
EPOPROSTENOL,ANXIETY,10,520,1093,71094
ERLOTINIB,ANXIETY,2,163,1093,71094
ESOMEPRAZOLE,ANXIETY,1,37,1093,71094
